Date,Open,High,Low,Close,Shares Traded,Turnover,MA13,PriceCrossover,PriceCrossoverSwitch,Target Close,VolumeMA7,VolumeDif,Target Close Percent,Last Week Gain,Last Week Gain Acceleration,Volatility7,Y Last Week Gain,GainFORCALC,LossFORCALC,Gain,Loss,Average Gain,Average Loss,RSI7,RSI7LOW,RSI7HIGH,Trend,PriceVolume,MA7PriceVolume,Month,GoldPRICE,GOLDUPDOWN,OilPRICE,OilUPDOWN,GOLDOILUPDOWN,InterestRate,IntersetRateOpen,InterestRateHigh,InterestRateLow,InterestRateChange,InterestChangeUpdown,AllUpdown
09/08/18,11493.25,11495.2,11454.1,11470.7,311521403,15842.76,11297.1875,173.5125,0,11570.9,234940415.4,76580987.57,0.87,114.2,-232.1,88.65664439,346.3,20.7,-20.7,20.7,0,32.28571429,15.97142857,65.54524362,0,0,355.75,-7024807638,-2514900500,Aug,29486,-1,4595,-1,-2,7.745,7.754,7.762,7.74,-0.0048,-1,-3
10/08/18,11474.95,11478.75,11419.65,11429.5,336424182,15738.26,11325.22083,104.2791667,0,11582.75,241667631.7,94756550.29,1.34,83.3,-178.15,65.79334982,261.45,-41.2,41.2,0,41.2,32.28571429,20.38571429,60.15437849,0,0,327.95,-15290479072,-4159115699,Aug,29477,1,4585,-1,0,7.754,7.743,7.759,7.737,0.0012,1,1
13/08/18,11369.6,11406.3,11340.3,11355.75,254466760,12899.22,11350.0125,5.7375,0,11557.1,250012129.6,4454630.429,1.77,111.05,0.65,57.57609354,110.4,-73.75,73.75,0,73.75,32.28571429,16.42142857,64.9518609,0,0,308.55,-3524364626,-2058012175,Aug,29674,1,4663,1,2,7.823,7.807,7.825,7.789,0.0089,1,3
14/08/18,11381.7,11452.45,11370.8,11435.1,239841680,13935.35,11365.71667,69.38333333,0,11691.95,255431220,-15589540,2.25,74.3,-154.5,57.51604021,228.8,79.35,-79.35,79.35,0,27.03571429,16.42142857,60.81298201,0,0,268.65,12807545712,-2254680027,Aug,29541,1,4668,1,2,7.818,7.8,7.824,7.795,-0.0006,-1,1
16/08/18,11397.15,11449.85,11366.25,11385.05,299610298,17081.62,11378.77917,6.270833333,0,11738.5,257530551.4,42079746.57,3.10,-2.05,-221.85,47.77561268,219.8,-50.05,50.05,0,50.05,23.27857143,23.57142857,48.6490521,0,0,183.3,-3625284606,-2340572517,Aug,29361,1,4677,1,2,7.861,7.849,7.876,7.839,0.0055,1,3
17/08/18,11437.15,11486.45,11431.8,11470.75,241985503,13275.31,11384.2375,86.5125,0,11691.9,270331653.7,-28346150.71,1.93,81.3,-29.8,44.47167103,111.1,85.7,-85.7,85.7,0,35.18571429,23.57142857,58.88118575,0,0,153.55,8130712901,-55341541.58,Aug,29361,1,4597,-1,0,7.861,7.849,7.876,7.839,0.0055,1,1
20/08/18,11502.1,11565.3,11499.65,11551.75,239843358,14119.93,11393.75833,157.9916667,0,11676.8,271556781,-31713423,1.08,101.75,-28.7,43.40671991,130.45,81,-81,81,0,38.10714286,23.57142857,60.7977208,0,0,181,11908222725,483077913.7,Aug,29381,1,4629,1,2,7.838,7.836,7.842,7.826,-0.0029,-1,1
21/08/18,11576.2,11581.75,11539.6,11570.9,231063669,13528.83,11410.8875,160.0125,0,11680.5,274813312,-43749643,0.95,100.2,-14,39.543141,114.2,19.15,-19.15,19.15,0,37.88571429,23.57142857,60.65873742,0,0,283.25,-1224637446,1311673655,Aug,29529,1,4634,1,2,7.827,7.834,7.834,7.814,-0.0014,-1,1
23/08/18,11620.7,11620.7,11546.7,11582.75,256163842,16117.77,11438.07083,144.6791667,0,11582.35,263319350,-7155508,0.00,153.25,69.95,37.87646587,83.3,11.85,-11.85,11.85,0,39.57857143,17.68571429,67.9293858,0,0,355.2,-9721417804,2107253837,Aug,29530,-1,4728,1,0,7.879,7.878,7.879,7.861,0.0066,1,1
24/08/18,11566.6,11604.6,11532,11557.1,225604574,13019.55,11456.56667,100.5333333,0,11520.3,251853587.1,-26249013.14,-0.32,201.35,90.3,47.37490043,111.05,-25.65,25.65,0,25.65,39.57857143,10.81428571,77.01181376,0,0,454.8,-2143243453,2304556861,Aug,29561,-1,4753,1,0,7.871,7.895,7.9,7.871,-0.001,-1,-1
