Date,Price,Open,High,Low,Change %,,,,
"Sep 20, 2016",7.065,7.065,7.065,7.065,0.16%,Sep,2016,20,
"Sep 19, 2016",7.054,7.054,7.054,7.054,0.03%,Sep,2016,19,
"Sep 17, 2016",7.052,7.052,7.052,7.052,0.00%,Sep,2016,17,
"Sep 16, 2016",7.052,7.052,7.052,7.052,-0.21%,Sep,2016,16,
"Sep 15, 2016",7.067,7.067,7.067,7.067,-0.21%,Sep,2016,15,
"Sep 14, 2016",7.082,7.082,7.082,7.082,-0.04%,Sep,2016,14,
"Sep 12, 2016",7.085,7.085,7.085,7.085,0.37%,Sep,2016,12,
"Sep 09, 2016",7.059,7.059,7.059,7.059,0.20%,Sep,2016,09,
"Sep 08, 2016",7.045,7.045,7.045,7.045,-0.14%,Sep,2016,08,
"Sep 07, 2016",7.055,7.055,7.055,7.055,-0.59%,Sep,2016,07,
"Sep 06, 2016",7.097,7.097,7.097,7.097,-0.31%,Sep,2016,06,
"Sep 02, 2016",7.119,7.119,7.119,7.119,-0.01%,Sep,2016,02,
"Sep 01, 2016",7.12,7.12,7.12,7.12,0.14%,Sep,2016,01,
"Aug 31, 2016",7.11,7.11,7.11,7.11,0.00%,Aug,2016,31,
"Aug 30, 2016",7.11,7.11,7.11,7.11,-0.18%,Aug,2016,30,
"Aug 29, 2016",7.123,7.123,7.123,7.123,-0.08%,Aug,2016,29,
"Aug 26, 2016",7.129,7.129,7.129,7.129,0.08%,Aug,2016,26,
"Aug 25, 2016",7.123,7.123,7.123,7.123,-0.18%,Aug,2016,25,
"Aug 24, 2016",7.136,7.136,7.136,7.136,-0.31%,Aug,2016,24,
"Aug 23, 2016",7.158,7.158,7.158,7.158,0.01%,Aug,2016,23,
"Aug 22, 2016",7.157,7.157,7.157,7.157,0.77%,Aug,2016,22,
"Aug 19, 2016",7.102,7.102,7.102,7.102,-0.56%,Aug,2016,19,
"Aug 18, 2016",7.142,7.142,7.142,7.142,0.51%,Aug,2016,18,
"Aug 16, 2016",7.106,7.106,7.106,7.106,0.04%,Aug,2016,16,
"Aug 14, 2016",7.103,7.103,7.103,7.103,0.00%,Aug,2016,14,
"Aug 13, 2016",7.103,7.103,7.103,7.103,0.00%,Aug,2016,13,
"Aug 12, 2016",7.103,7.103,7.103,7.103,0.28%,Aug,2016,12,
"Aug 11, 2016",7.083,7.083,7.083,7.083,-0.25%,Aug,2016,11,
"Aug 10, 2016",7.101,7.101,7.101,7.101,-0.34%,Aug,2016,10,
"Aug 09, 2016",7.125,7.125,7.125,7.125,-0.67%,Aug,2016,09,
"Aug 08, 2016",7.173,7.173,7.173,7.173,0.07%,Aug,2016,08,
"Aug 06, 2016",7.168,7.168,7.168,7.168,0.00%,Aug,2016,06,
"Aug 05, 2016",7.168,7.168,7.168,7.168,-0.06%,Aug,2016,05,
"Aug 04, 2016",7.172,7.172,7.172,7.172,-0.33%,Aug,2016,04,
"Aug 03, 2016",7.196,7.196,7.196,7.196,0.29%,Aug,2016,03,
"Aug 02, 2016",7.175,7.175,7.175,7.175,0.52%,Aug,2016,02,
"Aug 01, 2016",7.138,7.138,7.138,7.138,-0.36%,Aug,2016,01,
"Jul 29, 2016",7.164,7.164,7.164,7.164,-0.36%,Jul,2016,29,
"Jul 28, 2016",7.19,7.19,7.19,7.19,-0.87%,Jul,2016,28,
"Jul 27, 2016",7.253,7.253,7.253,7.253,0.04%,Jul,2016,27,
"Jul 26, 2016",7.25,7.25,7.25,7.25,0.01%,Jul,2016,26,
"Jul 25, 2016",7.249,7.249,7.249,7.249,-0.03%,Jul,2016,25,
"Jul 22, 2016",7.251,7.251,7.251,7.251,-0.18%,Jul,2016,22,
"Jul 21, 2016",7.264,7.264,7.264,7.264,-0.08%,Jul,2016,21,
"Jul 20, 2016",7.27,7.27,7.27,7.27,-0.16%,Jul,2016,20,
"Jul 19, 2016",7.282,7.282,7.282,7.282,-0.16%,Jul,2016,19,
"Jul 18, 2016",7.294,7.294,7.294,7.294,0.30%,Jul,2016,18,
"Jul 15, 2016",7.272,7.272,7.272,7.272,-0.21%,Jul,2016,15,
"Jul 14, 2016",7.287,7.287,7.287,7.287,0.04%,Jul,2016,14,
"Jul 13, 2016",7.284,7.284,7.284,7.284,-0.72%,Jul,2016,13,
"Jul 12, 2016",7.337,7.337,7.337,7.337,-0.64%,Jul,2016,12,
"Jul 11, 2016",7.384,7.384,7.384,7.384,-0.01%,Jul,2016,11,
"Jul 08, 2016",7.385,7.385,7.385,7.385,0.04%,Jul,2016,08,
"Jul 07, 2016",7.382,7.382,7.382,7.382,-0.16%,Jul,2016,07,
"Jul 05, 2016",7.394,7.394,7.394,7.394,-0.43%,Jul,2016,05,
"Jul 04, 2016",7.426,7.426,7.426,7.426,0.09%,Jul,2016,04,
"Jul 01, 2016",7.419,7.419,7.419,7.419,-0.42%,Jul,2016,01,
"Jun 30, 2016",7.45,7.45,7.45,7.45,0.08%,Jun,2016,30,
"Jun 29, 2016",7.444,7.444,7.444,7.444,-0.12%,Jun,2016,29,
"Jun 28, 2016",7.453,7.453,7.453,7.453,-0.08%,Jun,2016,28,
"Jun 27, 2016",7.459,7.459,7.459,7.459,-0.23%,Jun,2016,27,
"Jun 24, 2016",7.476,7.476,7.476,7.476,-0.07%,Jun,2016,24,
"Jun 23, 2016",7.481,7.481,7.481,7.481,0.07%,Jun,2016,23,
"Jun 22, 2016",7.476,7.476,7.476,7.476,-0.29%,Jun,2016,22,
"Jun 21, 2016",7.498,7.498,7.498,7.498,0.03%,Jun,2016,21,
"Jun 20, 2016",7.496,7.496,7.496,7.496,-0.09%,Jun,2016,20,
"Jun 17, 2016",7.503,7.503,7.503,7.503,-0.04%,Jun,2016,17,
"Jun 16, 2016",7.506,7.506,7.506,7.506,-0.15%,Jun,2016,16,
"Jun 15, 2016",7.517,7.517,7.517,7.517,-0.03%,Jun,2016,15,
"Jun 14, 2016",7.519,7.519,7.519,7.519,-0.08%,Jun,2016,14,
"Jun 13, 2016",7.525,7.525,7.525,7.525,0.44%,Jun,2016,13,
"Jun 10, 2016",7.492,7.492,7.492,7.492,0.05%,Jun,2016,10,
"Jun 09, 2016",7.488,7.488,7.488,7.488,-0.01%,Jun,2016,09,
"Jun 08, 2016",7.489,7.489,7.489,7.489,0.08%,Jun,2016,08,
"Jun 07, 2016",7.483,7.483,7.483,7.483,0.13%,Jun,2016,07,
"Jun 06, 2016",7.473,7.473,7.473,7.473,-0.21%,Jun,2016,06,
"Jun 03, 2016",7.489,7.489,7.489,7.489,0.05%,Jun,2016,03,
"Jun 02, 2016",7.485,7.485,7.485,7.485,-0.04%,Jun,2016,02,
"Jun 01, 2016",7.488,7.488,7.488,7.488,0.23%,Jun,2016,01,
"May 31, 2016",7.471,7.471,7.471,7.471,0.13%,May,2016,31,
